adjudication_key	base_state	current_state
literal:e792946df8797cc7e14b7aed1b82e76b788d24d65385c692c9eb7cd8beafb2d5	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:fa4a11bde5d3a8519b8d8a55d6f6f9d67e6d0dad8e2a14a4ffbcf6b04304b7a3	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:50072a4a1290ea16f54f24ebd0399e5ff5c081c5ac52c3f594f18b35b3d12bf5	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
